Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Nesiotobacter	exalbescens	LA33B	Nesiotobacter exalbescens	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Arcobacter	halophilus	LA31BT	Arcobacter halophilus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Dickeya	dadantii	CFBP 1269T	Dickeya dadantii	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA
Dickeya	dianthicola	CFBP 1200T	Dickeya dianthicola	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA
Dickeya	zeae	CFBP 2052T	Dickeya zeae	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA
Dickeya	dieffenbachiae	CFBP 2051T	Dickeya dieffenbachiae	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA
Bacillus	odysseyi	34hs-1T	Bacillus odysseyi	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sulfurihydrogenibium 	azorense	Az-Fu1T 	Sulfurihydrogenibium azorense	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Nocardioides	aquiterrae	GW-9T 	Nocardioides aquiterrae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Streptomyces	drozdowiczii	M7aT	Streptomyces drozdowiczii	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA
Nitratireductor	aquibiodomus	NL21T 	Nitratireductor aquibiodomus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Pelagicola	litoralis	CL-ES2	Pelagicola litoralis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paenibacillus	mendelii	C/2T	Paenibacillus mendelii	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	hwajinpoensis	SW-72T	Bacillus hwajinpoensis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Bacillus	acidicola	105-2T	Bacillus acidicola	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Patulibacter	medicamentivorans	I11	Patulibacter medicamentivorans	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Sphingomonas	fennica	K101T	Sphingomonas fennica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Brevundimonas	vancanneytii	LMG 2337	Brevundimonas vancanneytii	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brevundimonas	poindexterae	FWC40	Brevundimonas poindexterae	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brevundimonas	staleyi	FWC43	Brevundimonas staleyi	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Glycocaulis	abyssi	MCS 33	Glycocaulis abyssi	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caldanaerobacter	uzonensis	K67	Caldanaerobacter uzonensis	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Pseudonocardia 	tetrahydrofuranoxydans	K1	Pseudonocardia tetrahydrofuranoxydans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paenibacillus	cookii	LMG 18419T	Paenibacillus cookii	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Bacillus	shackletonii	LMG 18435T	Bacillus shackletonii	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jeotgalicoccus	pinnipedialis	A/G14/99/10T	Jeotgalicoccus pinnipedialis	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Enterococcus	ureilyticus	CCM 4629	Enterococcus ureilyticus	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Enterococcus	rotai	CCM 4630	Enterococcus rotai	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chromohalobacter	nigrandesensis	LTS-4N	Chromohalobacter nigrandesensis	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	yes
Acinetobacter	gyllenbergii	NIPH2150T	Acinetobacter gyllenbergii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glaciecola	polaris	LMG21857T	Glaciecola polaris	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alteromonas	stellipolaris	LMG 21861T	Alteromonas stellipolaris	yes	yes	NA	yes	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Algoriphagus	jejuensis	CNU040	Algoriphagus jejuensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Novosphingobium	lentum	MT1T	Novosphingobium lentum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Gulosibacter	molinativorax	ON4T	Gulosibacter molinativorax	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Collimonas	fungivorans	Ter6T	Collimonas fungivorans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Arthrobacter	tumbae	LMG19501T	Arthrobacter tumbae	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Arthrobacter	momumenti	LMG19502T	Arthrobacter momumenti	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Roseicyclus	mahoneyensis	ML6T	Roseicyclus mahoneyensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Anaerotruncus	colihominis	WAL 14565T	Anaerotruncus colihominis	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA
Bacillus	murimartini	LMG 21005T	Bacillus murimartini	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Blastococcus	saxobsidens	BC444T	Blastococcus saxobsidens	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Ignicoccus	hospitalis	 KIN4/IT	Ignicoccus hospitalis	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Devosia	crocina	IPL20T	Devosia crocina	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes
Flavobacterium	denitrificans	ED5T 	Flavobacterium denitrificans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Paenibacillus	terrae	MH72	Paenibacillus terrae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Dechloromonas	denitrificans	ED1T	Dechloromonas denitrificans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Vibrio	communis	Vibrio communis	Vibrio communis	yes	NA	yes	yes	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Methylobacter	tundripaludum	SV96	Methylobacter tundripaludum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Methylocystis	rosea	SV97	Methylocystis rosea	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia	tropica	Ppe8T	Burkholderia tropica	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Halomonas	indalinina	CG2.1T	Halomonas indalinina	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Chelativorans	Chelativorans multitrophicus	DSM 9103	Chelativorans multitrophicus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Corynebacterium	tuberculostearicum	XT	Corynebacterium tuberculostearicum	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Gillisia	limnaea	LMG21470T	Gillisia limnaea	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Loktanella 	salsilacus	LMG 21507T	Loktanella salsilacus	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	saliphilus	6AGT	Bacillus saliphilus	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Alkalibacillus	filiformis	4AGT	Alkalibacillus filiformis	NA	NA	NA	yes	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Pontibaca	methylaminivorans	GRP21	Pontibaca methylaminivorans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Amycolatopsis	decaplanina	FH1845T	Amycolatopsis decaplanina	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Nocardioides	mesophilus	MSL-22	Nocardioides mesophilus	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arthrobacter	nitroguajacolicus	G2-1T	Arthrobacter nitroguajacolicus	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Ruminococcus	champanellensis	18P13	Ruminococcus champanellensis	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dinoroseobacter	shibae	DFL 12T	Dinoroseobacter shibae	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Roseovarius	mucosus	DFL-24T	Roseovarius mucosus	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Chryseobacterium	molle	DW3	Chryseobacterium molle	NA	yes	NA	NA	NA	yes	yes	NA	yes	NA	NA	yes	NA	NA	NA
mycobacterium	psychrotolerans	WA101T	mycobacterium psychrotolerans	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Bacillus 	galactosidilyticus	LMG17892T	Bacillus galactosidilyticus	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Bacillus	ruris	LMG22866T	Bacillus ruris	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Caminibacter	profundus	CRT	Caminibacter profundus	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Angulomicrobium	amanitiforme	NCIMB1785T	Angulomicrobium amanitiforme	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Microbacterium	kribbense	MSL-04	Microbacterium kribbense	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA
Arcicella	aquatica	NO-502T	Arcicella aquatica	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aeromonas	simiae	IBSS6874T	Aeromonas simiae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Ottowia	thiooxydans	K11T	Ottowia thiooxydans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Pseudomonas	antarctica	CMS35T	Pseudomonas antarctica	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Pseudomonas	meridiana	CMS38T	Pseudomonas meridiana	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Pseudomoas	proteolytica	CMS64T	Pseudomoas proteolytica	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Bacillus	drentensis	IDA1967T	Bacillus drentensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Bacillus	bataviensis	IDA1115T	Bacillus bataviensis	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Bacillus	vireti	IDA3632T	Bacillus vireti	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Frigoribacterium	mesophilum	MSL-08	Frigoribacterium mesophilum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus	novalis	IDA3307T	Bacillus novalis	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Bacillus	soli	IDA0086T	Bacillus soli	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Treponema	putidum	OMZ 758T	Treponema putidum	yes	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mycobacterium	chimaera 	FI-01069T 	Mycobacterium chimaera	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deinococcus	indicus	Wt/1aT	Deinococcus indicus	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Polynucleobacter	Polynucleobacter cosmopolitanus	MWH-MoIso2	Polynucleobacter cosmopolitanus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Polynucleobacter	cosmopolitanus	MWH-MoIso2	Polynucleobacter cosmopolitanus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Oceanibulbus	indolifex	HEL-45T 	Oceanibulbus indolifex	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Shewanella	psychrophila	WP2T	Shewanella psychrophila	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Phycicoccus	bigeumensis	MSL-03	Phycicoccus bigeumensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Shewanella	piezotolerans	WP3T	Shewanella piezotolerans	NA	NA	NA	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA
Bacillus	gelatini	LMG21880T	Bacillus gelatini	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Anoxybacillus	contaminans	LMG21881T	Anoxybacillus contaminans	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Singularimonas	variicoloris	MN28	Singularimonas variicoloris	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Pseudonocardia	benzenivorans	B5T	Pseudonocardia benzenivorans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nocardia	tenerifensis	GW39-1573T	Nocardia tenerifensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes
Flavobacterium	degerlachei	LMG 21915T 	Flavobacterium degerlachei	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Flavobacterium	micromati	LMG21922T 	Flavobacterium micromati	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Flavobacterium	frigoris	LMG21919T 	Flavobacterium frigoris	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Phycicoccus	aerophilus	5516T-20	Phycicoccus aerophilus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arsenicicoccus	bolidensis	CCUG47306T	Arsenicicoccus bolidensis	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Reinekea	marinisedimentorum	KMM3655T	Reinekea marinisedimentorum	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Geobacillus	debilis	TfT	Geobacillus debilis	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Belliella	baltica	BA134T	Belliella baltica	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Corynebacterium	caspium	M/106/00/5T	Corynebacterium caspium	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Fastidiosipila	sanguinis	CCUG47711T	Fastidiosipila sanguinis	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Algoriphagus	winogradskyi	KMM 3956T	Algoriphagus winogradskyi	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Algoriphagus	aquimarinus	KMM 3958T	Algoriphagus aquimarinus	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Halomonas	salifodinae	BC7	Halomonas salifodinae	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	yes	NA	NA	yes
Algoriphagus	chordae	KMM 3957T 	Algoriphagus chordae	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Algoriphagus	chordae	KMM 3957T	Algoriphagus chordae	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cloacibacterium	normanense	NRS1	Cloacibacterium normanense	NA	yes	NA	NA	NA	yes	NA	NA	yes	NA	NA	yes	NA	NA	NA
Arenibacter	palladensis	KMM 3961	Arenibacter palladensis	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paenibacillus	cineris	LMG 18439T	Paenibacillus cineris	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Pseudomonas	psychrotolerans	C36T	Pseudomonas psychrotolerans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingomonas	abaci	C42T	Sphingomonas abaci	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingomonas	panni	C52T	Sphingomonas panni	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Algoriphagus	antarcticus	LMG21980T	Algoriphagus antarcticus	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Sphingomonas 	Sphingomonas histidinilytica	UM2	Sphingomonas histidinilytica	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Vibrio	gigantis	LGP13T	Vibrio gigantis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Woodsholea	maritima	CM243T	Woodsholea maritima	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Helcococcus	sueciensis	CCUG47334T	Helcococcus sueciensis	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Luteibacter	rhizovicinus	LJ96T	Luteibacter rhizovicinus	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Methylohalobius	crimeensis	10KiT	Methylohalobius crimeensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA
Pseudomonas	lurida	P513/18T	Pseudomonas lurida	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Labrenzia	alexandrii	DFL-11T	Labrenzia alexandrii	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Loktanella	fryxellensis	LMG 22007T	Loktanella fryxellensis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Loktanella 	vestfoldensis	LMG 22003T	Loktanella vestfoldensis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Vibrio	crassostreae	LGP7T	Vibrio crassostreae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	indicus	Sd/3T	Bacillus indicus	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides	cellulosilyticus	CRE21T	Bacteroides cellulosilyticus	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pedobacter	himalayensis	HHS22T	Pedobacter himalayensis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Psychrobacter	vallis	CMS39T	Psychrobacter vallis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Psychrobacter	aquaticus	CMS56T	Psychrobacter aquaticus	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Uruburuella	suis	1258/02T	Uruburuella suis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Paenibacillus	antarcticus	20CMT	Paenibacillus antarcticus	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Roseibaca	ekhonensis	EL-50T 	Roseibaca ekhonensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Ammonifex	thiophilus	SR	Ammonifex thiophilus	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Roseisalinus	antarcticus	EL-88T	Roseisalinus antarcticus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Bacillus	aurantiacus	K1-5	Bacillus aurantiacus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus	halichoeri	CCUG48324T	Streptococcus halichoeri	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus	 castoreus	M605815/03/2T	Streptococcus castoreus	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arthrobacter	gangotriensis	Lz1yT	Arthrobacter gangotriensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Arthrobacter	kerguelensis	KGN15T	Arthrobacter kerguelensis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Pseudorhodoferax	caeni 	SB1T 	Pseudorhodoferax caeni	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	arsenicus	Con a/3T 	Bacillus arsenicus	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Arcobacter	cibarius	LMG21996T	Arcobacter cibarius	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Slackia	faecicanis	5WC12T 	Slackia faecicanis	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marinobacter	sediminum	KMM3657T	Marinobacter sediminum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Marinobacter	bryozoorum	KMM3840T	Marinobacter bryozoorum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Psychrobacter	maritimus	KMM3646T	Psychrobacter maritimus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Psychrobacter	arenosus	KMM3659T	Psychrobacter arenosus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Mycobacterium	florentinum	FI-93171T	Mycobacterium florentinum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Arthrobacter	psychrophenolicus	A631T	Arthrobacter psychrophenolicus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	yes	NA	yes
Halomonas	organivorans	G-16.1T	Halomonas organivorans	NA	yes	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA
Brevibacterium	picturae	LMG 22061T	Brevibacterium picturae	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	yes	NA	yes
Campylobacter	insulaenigrae	12927T	Campylobacter insulaenigrae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Acinetobacter	beijerinckii	NIPH838T	Acinetobacter beijerinckii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chryseobacterium	soli	JS6-6	Chryseobacterium soli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Adhaeribacter	aquaticus	MBRG1.5T	Adhaeribacter aquaticus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Enterococcus	saccharominimus	LMG21727T	Enterococcus saccharominimus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Micromonospora	mirobrigensis	WA201T	Micromonospora mirobrigensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Bacillus	humi	LMG 22167T	Bacillus humi	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Bacillus	arvi	LMG 22165T	Bacillus arvi	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Bacillus	arenosi	LMG 22166T	Bacillus arenosi	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Yersinia 	aleksiciae	Y159T	Yersinia aleksiciae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Mariniflexile	fucanivorans	SW5	Mariniflexile fucanivorans	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thalassobacter	stenotrophicus	5SM22T	Thalassobacter stenotrophicus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Lentibacillus	salinarum	AHS-1	Lentibacillus salinarum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Lactobacillus	hammesii	LP38T	Lactobacillus hammesii	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paenibacillus	wynnii	LMG 22176T	Paenibacillus wynnii	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Streptococcus	marimammalium	M54/01/1T 	Streptococcus marimammalium	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Atopococcus	tabaci	CCUG48253T	Atopococcus tabaci	yes	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Methylobacterium	aquaticum	GR16T	Methylobacterium aquaticum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Methylobacterium	hispanicum	GP34T	Methylobacterium hispanicum	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Arthrobacter	castelli	LMG22283T	Arthrobacter castelli	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Arthrobacter	pigmenti	LMG22284T	Arthrobacter pigmenti	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Arthrobacter	tecti	LMG22282T	Arthrobacter tecti	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
